date,description,amount,category,flagged
2023-05-26,Phone Bill,340.98,Utilities,True
2024-05-22,Insurance,283.02,Healthcare,True
2024-02-15,Electric Bill,412.4,Utilities,False
2023-10-23,Dentist,333.45,Healthcare,True
2023-05-14,Tuition,190.23,Education,False
2024-12-28,Electronics Store,291.18,Shopping,False
2025-04-01,Movie Tickets,410.39,Entertainment,True
2023-06-28,Public Transit,420.84,Transportation,True
2024-10-08,Clothing Store,27.42,Shopping,True
2025-03-06,Vacation,1144.57,Travel,True
2025-04-29,Apple Store,255.15,Shopping,False
2024-02-18,Online Course,332.51,Education,True
2025-02-16,Online Course,324.26,Education,True
2025-01-18,Airbnb,838.48,Travel,False
2024-11-20,Apple Store,324.65,Shopping,True
2024-09-16,Phone Bill,145.49,Utilities,False
2024-08-10,Gas Bill,212.03,Utilities,False
2024-10-25,Conference,179.16,Education,False
2024-07-17,Apartment Payment,2561.2,Rent,False
2024-09-20,Electric Bill,183.61,Utilities,True
2024-05-13,Apartment Payment,1843.0,Rent,False
2024-06-13,Rental Car,174.95,Travel,False
2024-10-24,Bar,88.54,Dining,False
2023-11-13,Conference,157.99,Education,False
2023-08-22,Rental Car,726.65,Travel,False
2024-01-22,Bar,120.26,Dining,False
2024-06-09,Mortgage,2878.9,Rent,False
2024-02-23,Conference,234.25,Education,False
2024-06-18,Phone Bill,265.37,Utilities,False
2023-08-05,Monthly Rent,2769.27,Rent,True
2024-08-05,Target,172.94,Groceries,True
2023-09-06,Mortgage,1389.9,Rent,True
2023-11-03,Insurance,401.02,Healthcare,False
2024-04-11,Insurance,350.92,Healthcare,True
2023-12-30,Airbnb,488.81,Travel,True
2023-12-25,Restaurant,101.01,Dining,False
2024-05-16,Doctor Visit,219.72,Healthcare,True
2024-05-15,Fast Food,361.34,Dining,True
2024-01-28,Local Market,126.06,Groceries,False
2023-12-23,Airbnb,1503.21,Travel,False
2024-11-29,Trader Joe's,50.43,Groceries,False
2023-08-27,Coffee Shop,32.62,Dining,True
2024-10-08,Amazon Prime,209.16,Entertainment,True
2023-09-18,Cafe,239.06,Dining,True
2024-03-02,Monthly Rent,2586.38,Rent,True
2023-07-18,Online Course,148.28,Education,False
2024-04-29,Gas,91.22,Transportation,False
2023-11-06,Concert,260.09,Entertainment,True
2025-03-07,Airline Ticket,1982.15,Travel,False
2024-07-25,Tuition,21.42,Education,False
2023-11-08,Online Course,216.74,Education,False
2024-01-05,Water Bill,211.09,Utilities,True
2023-06-24,Gas,304.26,Transportation,True
2023-10-18,Best Buy,97.54,Shopping,False
2023-06-30,Cafe,61.17,Dining,True
2025-04-27,Coffee Shop,52.92,Dining,False
2023-08-15,Books,374.81,Education,True
2023-09-12,Doctor Visit,205.77,Healthcare,True
2023-09-06,Apartment Payment,2738.22,Rent,False
2024-06-23,Lyft,286.84,Transportation,True
2024-12-22,Local Market,162.42,Groceries,False
2025-01-04,Insurance,215.85,Healthcare,True
2025-01-08,House Payment,1498.49,Rent,True
2023-06-12,Netflix,12.48,Entertainment,True
2024-05-13,Concert,188.47,Entertainment,True
2024-02-12,Costco,239.67,Groceries,True
2024-09-23,Bar,245.96,Dining,True
2023-11-08,Whole Foods,140.21,Groceries,True
2025-04-29,Lyft,198.76,Transportation,False
2025-04-23,Movie Tickets,106.37,Entertainment,True
2024-07-13,Electric Bill,224.94,Utilities,False
2023-07-27,Airbnb,961.23,Travel,False
2023-09-09,Doctor Visit,435.62,Healthcare,False
2023-12-21,Cable Bill,414.67,Utilities,False
2023-09-27,Mortgage,831.48,Rent,True
2024-03-16,Best Buy,464.58,Shopping,False
2023-11-05,Public Transit,82.39,Transportation,False
2024-10-16,Online Course,304.95,Education,True
2024-06-07,Spotify,265.46,Entertainment,True
2024-05-20,Conference,208.71,Education,False
2023-07-26,Car Maintenance,313.97,Transportation,True
2023-12-07,Amazon Prime,175.13,Entertainment,True
2024-06-01,Optometrist,405.21,Healthcare,True
2024-05-04,Internet Bill,103.09,Utilities,True
2023-11-28,Public Transit,165.35,Transportation,True
2024-10-03,Mortgage,1897.7,Rent,True
2023-09-30,Cable Bill,381.69,Utilities,False
2024-04-16,Conference,57.24,Education,True
2024-05-01,Amazon,294.15,Shopping,True
2024-04-10,Bar,480.67,Dining,True
2023-10-22,Walmart,261.41,Groceries,False
2025-01-26,Whole Foods,92.16,Groceries,True
2025-04-29,Spotify,343.73,Entertainment,True
2025-01-21,Dining Out,86.31,Entertainment,False
2024-10-09,Pharmacy,150.8,Healthcare,True
2025-03-13,Online Course,177.03,Education,True
2023-07-02,Public Transit,440.16,Transportation,False
2025-02-23,Restaurant,239.94,Dining,False
2023-07-11,House Payment,2067.2,Rent,True
2024-01-11,Insurance,196.82,Healthcare,True
2025-02-23,Movie Tickets,77.6,Entertainment,True
2024-06-09,Bar,248.19,Dining,False
2024-06-02,Walmart,26.93,Groceries,True
2023-10-14,Workshop,8.08,Education,True
2024-12-21,Internet Bill,387.4,Utilities,False
2025-03-11,Amazon,329.06,Shopping,False
2024-06-12,Coffee Shop,468.16,Dining,False
2024-10-10,Fast Food,339.7,Dining,True
2024-04-12,Books,140.74,Education,True
2024-12-13,Gas Bill,480.51,Utilities,True
2024-12-18,Apple Store,163.62,Shopping,True
2025-03-31,Internet Bill,202.62,Utilities,False
2023-07-22,Dentist,119.01,Healthcare,True
2024-02-01,Public Transit,80.84,Transportation,True
2024-07-19,Insurance,300.09,Healthcare,True
2023-09-23,House Payment,2926.11,Rent,True
2024-11-07,Best Buy,226.0,Shopping,True
2024-08-08,Trader Joe's,64.36,Groceries,False
2025-01-16,Online Course,320.85,Education,True
2025-04-26,Airline Ticket,1786.39,Travel,True
2024-08-20,Airline Ticket,1789.58,Travel,True
2023-09-10,Rental Car,1350.01,Travel,True
2025-04-02,Apple Store,80.28,Shopping,True
2025-01-04,Monthly Rent,2416.38,Rent,False
2024-01-13,Water Bill,240.46,Utilities,False
2025-03-27,Cable Bill,175.85,Utilities,True
2024-08-04,Coffee Shop,126.51,Dining,True
2024-02-21,Apple Store,36.43,Shopping,False
2023-09-05,Lyft,218.55,Transportation,False
2023-07-09,Clothing Store,60.25,Shopping,False
2024-09-14,Water Bill,449.31,Utilities,False
2023-11-15,Gas Bill,311.26,Utilities,False
2024-02-24,Pharmacy,336.1,Healthcare,False
2024-01-27,Airbnb,556.65,Travel,True
2023-06-06,Electric Bill,229.4,Utilities,True
2025-03-21,Internet Bill,373.23,Utilities,False
2024-02-23,Electronics Store,252.88,Shopping,False
2023-09-21,Clothing Store,46.77,Shopping,True
2025-02-02,Spotify,39.04,Entertainment,False
2023-12-17,Best Buy,475.88,Shopping,True
2024-08-15,Airline Ticket,616.09,Travel,False
2023-08-21,Car Maintenance,53.01,Transportation,True
2024-09-05,Books,76.88,Education,True
2024-12-07,House Payment,2483.35,Rent,False
2024-02-05,Optometrist,411.89,Healthcare,True
2025-01-27,Uber,193.7,Transportation,False
2023-06-16,Car Maintenance,237.82,Transportation,True
2025-01-21,Clothing Store,479.89,Shopping,True
2024-04-17,Airline Ticket,501.1,Travel,True
2024-11-04,Restaurant,226.2,Dining,False
2024-09-24,Bar,212.84,Dining,True
2024-03-19,Doctor Visit,442.53,Healthcare,False
2023-08-20,Uber,100.9,Transportation,True
2023-09-11,Internet Bill,198.96,Utilities,False
2024-06-02,Lyft,140.58,Transportation,False
2025-02-16,Parking,424.91,Transportation,False
2023-05-28,Water Bill,134.89,Utilities,True
2024-03-29,Monthly Rent,2150.24,Rent,True
2023-09-17,Online Course,226.44,Education,False
2024-02-23,Gas Bill,257.88,Utilities,True
2023-07-15,Concert,259.61,Entertainment,True
2023-09-30,Cafe,443.34,Dining,False
2024-09-01,Best Buy,344.11,Shopping,False
2024-12-17,Workshop,453.47,Education,True
2024-03-21,Monthly Rent,2676.29,Rent,True
2024-03-15,Gas Bill,191.1,Utilities,True
2024-04-19,Airline Ticket,1290.36,Travel,False
2023-09-03,Internet Bill,240.41,Utilities,True
2023-12-04,Whole Foods,288.27,Groceries,True
2024-06-14,Amazon Prime,286.06,Entertainment,True
2025-03-06,Gas,237.32,Transportation,True
2024-05-11,Workshop,281.66,Education,False
2024-12-23,Electronics Store,110.7,Shopping,True
2024-02-27,Uber,329.89,Transportation,False
2025-04-17,Kroger,119.05,Groceries,True
2023-05-29,Restaurant,67.01,Dining,False
2024-08-14,Workshop,163.17,Education,False
2024-09-06,Amazon,29.21,Shopping,False
2023-10-07,Amazon Prime,466.02,Entertainment,True
2025-03-21,Insurance,132.22,Healthcare,True
2023-09-26,Insurance,285.03,Healthcare,False
2023-10-14,Internet Bill,403.0,Utilities,True
2024-08-03,Apartment Payment,1711.46,Rent,False
2024-11-28,Parking,325.51,Transportation,False
2024-03-27,Public Transit,493.28,Transportation,True
2024-03-11,Netflix,466.7,Entertainment,True
2023-06-05,Local Market,76.13,Groceries,True
2024-10-20,Dentist,298.13,Healthcare,True
2023-09-01,Cafe,471.56,Dining,False
2024-02-16,Safeway,256.41,Groceries,True
2024-07-26,Concert,44.07,Entertainment,False
2025-01-31,Dining Out,426.53,Entertainment,True
2025-01-21,Spotify,154.78,Entertainment,True
2024-03-14,Electric Bill,334.28,Utilities,False
2025-03-16,Insurance,230.06,Healthcare,True
2025-03-23,Online Course,152.85,Education,False
2024-01-02,Online Course,236.31,Education,False
2023-09-30,Rental Car,362.04,Travel,True
2023-08-02,Optometrist,58.43,Healthcare,True
2023-05-30,Hotel,1303.7,Travel,False
2023-07-02,Electronics Store,433.41,Shopping,True
2023-09-06,Doctor Visit,111.98,Healthcare,False
2023-05-03,Monthly Rent,1152.19,Rent,True
2024-05-29,Books,238.45,Education,True
2024-07-23,Pharmacy,180.62,Healthcare,False
2024-04-02,Hotel,363.33,Travel,False
2024-04-05,Car Maintenance,236.2,Transportation,False
2023-10-07,Dentist,197.41,Healthcare,False
2023-12-27,Best Buy,19.49,Shopping,True
2024-09-06,Kroger,82.82,Groceries,True
2023-06-18,Apartment Payment,1099.13,Rent,True
2024-08-18,Electronics Store,47.29,Shopping,False
2025-04-08,Rental Car,1125.7,Travel,True
2023-09-30,Doctor Visit,221.34,Healthcare,True
2025-01-11,Workshop,365.32,Education,False
2025-02-12,Vacation,1063.16,Travel,False
2025-02-08,Bar,82.11,Dining,False
2024-12-11,House Payment,2963.89,Rent,False
2023-08-04,Movie Tickets,93.05,Entertainment,True
2024-02-21,Cafe,318.95,Dining,False
2024-06-03,Vacation,1916.71,Travel,True
2025-02-17,Local Market,171.29,Groceries,True
2023-11-03,Airbnb,706.85,Travel,True
2023-11-11,Hulu,408.13,Entertainment,False
2023-09-20,Mortgage,2606.08,Rent,True
2024-05-06,Lyft,349.55,Transportation,True
2024-01-31,Target,171.13,Groceries,False
2023-05-21,Airline Ticket,318.17,Travel,True
2024-09-19,Apartment Payment,1568.81,Rent,False
2024-10-21,Cafe,325.94,Dining,False
2024-07-18,Restaurant,209.65,Dining,False
2024-06-05,Conference,275.9,Education,True
2023-09-08,Concert,203.13,Entertainment,False
2024-06-04,Safeway,60.77,Groceries,True
2024-12-30,Local Market,79.28,Groceries,False
2023-07-09,Apple Store,435.26,Shopping,True
2024-06-08,Best Buy,150.26,Shopping,False
2025-02-24,Coffee Shop,44.07,Dining,False
2024-01-28,Vacation,676.3,Travel,True
2023-06-01,Fast Food,312.72,Dining,True
2024-05-17,Lyft,62.15,Transportation,True
2024-01-23,Water Bill,343.09,Utilities,False
2024-07-25,Vacation,439.49,Travel,False
2023-09-24,Doctor Visit,96.05,Healthcare,False
2023-10-02,Coffee Shop,260.13,Dining,False
2023-12-28,Fast Food,255.61,Dining,False
2024-08-09,Cable Bill,147.8,Utilities,True
2024-07-13,Coffee Shop,358.01,Dining,False
2024-03-15,Restaurant,463.44,Dining,False
2024-03-05,Spotify,482.56,Entertainment,False
2024-03-07,Cable Bill,285.02,Utilities,True
2025-03-24,Target,23.8,Groceries,True
2023-05-23,House Payment,2429.68,Rent,True
2024-11-25,Doctor Visit,407.57,Healthcare,False
2023-11-21,Pharmacy,408.31,Healthcare,True
2023-10-09,Optometrist,298.8,Healthcare,False
2025-02-13,Airline Ticket,566.34,Travel,False
2023-07-11,Clothing Store,368.39,Shopping,False
2025-01-11,Clothing Store,62.71,Shopping,False
2024-05-27,Amazon,128.14,Shopping,False
2023-06-23,Electric Bill,80.66,Utilities,False
2024-01-04,Cafe,101.92,Dining,False
2024-11-26,Lyft,126.77,Transportation,False
2023-12-27,Restaurant,222.78,Dining,True
2025-04-10,Conference,448.07,Education,False
2024-08-07,Kroger,207.49,Groceries,False
2023-09-08,Car Maintenance,31.61,Transportation,True
2024-12-19,Insurance,237.12,Healthcare,False
2024-09-14,Cafe,377.61,Dining,False
2023-11-30,Walmart,102.94,Groceries,True
2024-07-13,Safeway,62.36,Groceries,True
2023-05-25,Books,315.28,Education,False
2023-10-19,Rental Car,230.39,Travel,False
2023-05-15,Cable Bill,265.85,Utilities,True
2023-07-15,Netflix,150.55,Entertainment,False
2025-04-20,Kroger,43.99,Groceries,False
2023-11-06,Dentist,347.72,Healthcare,False
2024-07-28,Bar,191.75,Dining,True
2024-01-18,Tuition,466.98,Education,True
2024-05-11,Monthly Rent,1700.15,Rent,True
2024-05-11,Walmart,240.12,Groceries,False
2023-09-30,Public Transit,216.3,Transportation,False
2024-05-15,Apartment Payment,2076.71,Rent,True
2024-01-25,Local Market,291.98,Groceries,True
2024-09-25,Cafe,450.76,Dining,False
2023-08-22,Phone Bill,127.12,Utilities,False
2024-07-25,Internet Bill,261.11,Utilities,False
2023-12-01,Hotel,1348.02,Travel,True
2025-04-16,Clothing Store,164.22,Shopping,False
2025-01-09,Spotify,194.05,Entertainment,False
2024-01-27,Lyft,122.34,Transportation,True
2024-11-21,Tuition,368.57,Education,True
2023-07-09,Amazon,250.7,Shopping,False
2024-01-28,Dentist,301.38,Healthcare,True
2024-07-04,Mortgage,2365.12,Rent,True
2024-11-14,Dentist,195.9,Healthcare,True
2024-01-03,Clothing Store,303.12,Shopping,True
2023-06-02,Clothing Store,145.26,Shopping,False
2024-04-22,Rental Car,1360.94,Travel,False
2023-05-10,Coffee Shop,392.87,Dining,False
2023-05-09,Local Market,296.59,Groceries,True
2024-05-29,Tuition,428.17,Education,False
2024-04-07,Movie Tickets,487.43,Entertainment,False
2024-03-12,Books,107.22,Education,False
2024-02-01,Apartment Payment,1716.83,Rent,False
2024-09-27,Parking,333.59,Transportation,True
2025-03-26,Parking,7.43,Transportation,False
2024-05-04,Netflix,316.48,Entertainment,True
2023-07-04,Internet Bill,199.94,Utilities,True
2024-03-29,Amazon Prime,404.66,Entertainment,False
2025-03-18,Restaurant,165.16,Dining,True
2024-02-04,Hotel,987.29,Travel,False
2023-11-23,Mortgage,2483.64,Rent,True
2025-01-01,Phone Bill,204.64,Utilities,False
2025-03-24,Books,72.38,Education,True
2023-10-03,Car Maintenance,277.02,Transportation,False
2023-12-15,Amazon Prime,49.42,Entertainment,False
2024-08-20,Mortgage,1234.01,Rent,False
2024-10-18,Books,212.89,Education,True
2024-02-24,Books,436.33,Education,True
2024-07-06,Kroger,51.87,Groceries,False
2025-03-30,Airbnb,1368.9,Travel,False
2024-05-10,Parking,454.76,Transportation,False
2025-02-06,Restaurant,376.62,Dining,False
2023-04-30,Kroger,247.76,Groceries,False
2024-11-10,Netflix,445.04,Entertainment,True
2025-01-14,Whole Foods,147.08,Groceries,True
2024-01-17,Apple Store,34.51,Shopping,True
2024-01-13,Gas,106.64,Transportation,False
2023-08-28,House Payment,2625.91,Rent,True
2024-11-16,Safeway,138.15,Groceries,True
2023-08-15,Movie Tickets,411.47,Entertainment,False
2023-11-05,Car Maintenance,113.49,Transportation,True
2025-03-15,Vacation,999.92,Travel,True
2024-10-11,Phone Bill,412.17,Utilities,True
2023-10-02,Car Maintenance,252.19,Transportation,False
2024-09-15,Local Market,293.14,Groceries,False
2023-09-19,Mortgage,1106.95,Rent,True
2024-05-04,House Payment,2537.83,Rent,True
2023-10-13,Lyft,50.37,Transportation,True
2023-12-22,Apartment Payment,2218.19,Rent,False
2024-12-24,Water Bill,498.71,Utilities,True
2024-05-06,Books,447.39,Education,False
2024-06-22,Kroger,20.52,Groceries,True
2024-11-20,Mortgage,1198.47,Rent,True
2024-12-12,Apple Store,288.97,Shopping,True
2023-06-27,Amazon,42.24,Shopping,False
2025-01-10,Concert,136.06,Entertainment,True
2023-07-02,Rental Car,327.99,Travel,False
2025-03-30,Fast Food,406.37,Dining,True
2024-05-31,Restaurant,406.96,Dining,False
2024-10-12,Dining Out,30.89,Entertainment,True
2024-06-13,Whole Foods,56.83,Groceries,False
2024-12-16,Cafe,113.95,Dining,True
2024-05-01,Spotify,495.88,Entertainment,False
2024-07-30,Amazon Prime,178.49,Entertainment,True
2023-06-25,Apartment Payment,2929.76,Rent,False
2023-12-17,Best Buy,263.33,Shopping,False
2023-08-29,Restaurant,103.19,Dining,True
2024-03-30,Spotify,48.72,Entertainment,True
2024-11-04,Dentist,227.72,Healthcare,True
2025-01-14,House Payment,845.26,Rent,False
2023-12-12,Hulu,86.01,Entertainment,True
2024-02-12,Conference,100.11,Education,True
2024-09-13,Netflix,417.01,Entertainment,True
2024-11-03,Netflix,205.06,Entertainment,True
2024-10-06,Dining Out,335.65,Entertainment,False
2024-11-13,Fast Food,8.38,Dining,False
2025-02-04,Insurance,197.01,Healthcare,True
2023-11-27,Electronics Store,484.81,Shopping,True
2024-11-04,Hulu,257.34,Entertainment,True
2023-09-13,Insurance,391.13,Healthcare,False
2025-04-01,Mortgage,2753.33,Rent,True
2023-05-05,Vacation,208.99,Travel,True
2024-05-31,Mortgage,2066.31,Rent,False
2025-02-26,Pharmacy,202.0,Healthcare,False
2024-12-18,Workshop,425.13,Education,True
2024-01-12,Electronics Store,67.75,Shopping,False
2023-06-02,Clothing Store,468.46,Shopping,False
2025-04-14,Online Course,445.8,Education,False
2024-07-10,Doctor Visit,203.42,Healthcare,False
2023-07-23,Local Market,285.88,Groceries,True
2024-02-18,Netflix,446.11,Entertainment,False
2024-05-01,Airbnb,341.06,Travel,True
2025-03-27,Rental Car,165.63,Travel,False
2024-01-01,Coffee Shop,100.84,Dining,False
2023-05-07,Clothing Store,14.37,Shopping,True
2025-03-29,Cafe,163.79,Dining,False
2023-06-29,Bar,227.79,Dining,True
2024-10-05,Kroger,119.87,Groceries,True
2024-10-19,Trader Joe's,126.2,Groceries,True
2024-11-23,Apartment Payment,879.57,Rent,False
2025-01-13,Public Transit,9.48,Transportation,True
2025-01-04,Spotify,319.31,Entertainment,True
2023-08-12,House Payment,1596.26,Rent,False
2024-06-13,Pharmacy,59.94,Healthcare,False
2023-09-21,Conference,475.26,Education,True
2024-05-02,Airline Ticket,1014.07,Travel,True
2024-11-10,Books,483.04,Education,False
2025-03-26,House Payment,2591.87,Rent,False
2023-05-03,Electronics Store,230.84,Shopping,False
2023-09-30,Cable Bill,287.22,Utilities,True
2023-11-05,Tuition,278.71,Education,False
2025-03-31,Lyft,360.91,Transportation,False
2024-10-18,Phone Bill,150.83,Utilities,True
2024-08-14,Airbnb,1158.79,Travel,True
2023-10-18,Amazon,434.36,Shopping,False
2024-12-23,Insurance,396.38,Healthcare,False
2023-11-19,Gas Bill,274.66,Utilities,True
2023-07-15,Vacation,1717.59,Travel,False
2023-05-29,Airbnb,504.09,Travel,True
2024-06-01,Pharmacy,25.55,Healthcare,False
2023-06-10,Gas,31.38,Transportation,True
2023-09-02,Dining Out,213.16,Entertainment,True
2025-03-21,Conference,252.3,Education,True
2024-10-01,Cafe,180.0,Dining,False
2023-07-14,Lyft,10.21,Transportation,False
2023-10-17,Optometrist,276.54,Healthcare,False
2024-04-24,Tuition,405.93,Education,False
2023-08-03,Online Course,348.4,Education,False
2023-07-02,Restaurant,310.42,Dining,False
2024-04-21,Airline Ticket,584.93,Travel,True
2023-07-09,Electronics Store,210.59,Shopping,False
2023-10-25,Coffee Shop,469.3,Dining,True
2023-08-27,Apartment Payment,1050.72,Rent,False
2024-04-22,Hotel,670.48,Travel,True
2025-02-16,Best Buy,140.61,Shopping,True
2024-07-08,Vacation,794.7,Travel,True
2024-01-18,Trader Joe's,110.67,Groceries,False
2024-09-23,Restaurant,229.52,Dining,False
2024-12-06,Doctor Visit,252.01,Healthcare,False
2024-07-01,Hotel,1790.37,Travel,True
2024-12-27,Cable Bill,366.13,Utilities,True
